hw_id,pos_id,x,y,ip,mavlink_port,debug_port,gcs_ip
1,1,-7.5,-7.5,172.17.0.3,14551,13541,172.17.0.1
2,2,-7.5,-2.5,172.17.0.4,14552,13542,172.17.0.1
3,3,-7.5,2.5,172.17.0.5,14553,13543,172.17.0.1
4,4,-7.5,7.5,172.17.0.6,14554,13544,172.17.0.1
5,5,-2.5,-7.5,172.17.0.7,14555,13545,172.17.0.1
6,6,-2.5,-2.5,172.17.0.8,14556,13546,172.17.0.1
7,7,-2.5,2.5,172.17.0.9,14557,13547,172.17.0.1
8,8,-2.5,7.5,172.17.0.10,14558,13548,172.17.0.1
9,9,2.5,-7.5,172.17.0.11,14559,13549,172.17.0.1
10,10,2.5,-2.5,172.17.0.12,14560,13550,172.17.0.1
11,11,2.5,2.5,172.17.0.13,14561,13551,172.17.0.1
12,12,2.5,7.5,172.17.0.14,14562,13552,172.17.0.1
13,13,7.5,-7.5,172.17.0.15,14563,13553,172.17.0.1
14,14,7.5,-2.5,172.17.0.16,14564,13554,172.17.0.1
15,15,7.5,2.5,172.17.0.17,14565,13555,172.17.0.1
16,16,7.5,7.5,172.17.0.18,14566,13556,172.17.0.1
17,17,10,2.5,172.17.0.19,14567,13557,172.17.0.1
18,18,11.2,2.8,172.17.0.20,14568,13558,172.17.0.1
19,19,12.4,3.1,172.17.0.21,14569,13559,172.17.0.1
20,20,13.5,3.4,172.17.0.22,14570,13560,172.17.0.1
21,21,14.7,3.7,172.17.0.23,14571,13561,172.17.0.1
22,22,15.9,4.0,172.17.0.24,14572,13562,172.17.0.1
23,23,17.1,4.3,172.17.0.25,14573,13563,172.17.0.1
24,24,18.2,4.6,172.17.0.26,14574,13564,172.17.0.1
25,25,19.4,4.9,172.17.0.27,14575,13565,172.17.0.1
26,26,20.6,5.1,172.17.0.28,14576,13566,172.17.0.1
27,27,21.8,5.4,172.17.0.29,14577,13567,172.17.0.1
28,28,22.9,5.7,172.17.0.30,14578,13568,172.17.0.1
29,29,24.1,6.0,172.17.0.31,14579,13569,172.17.0.1
30,30,25.3,6.3,172.17.0.32,14580,13570,172.17.0.1
31,31,26.5,6.6,172.17.0.33,14581,13571,172.17.0.1
32,32,27.6,6.9,172.17.0.34,14582,13572,172.17.0.1
33,33,28.8,7.2,172.17.0.35,14583,13573,172.17.0.1
34,34,30.0,7.5,172.17.0.36,14584,13574,172.17.0.1
35,35,31.2,7.8,172.17.0.37,14585,13575,172.17.0.1
36,36,32.4,8.1,172.17.0.38,14586,13576,172.17.0.1
37,37,33.5,8.4,172.17.0.39,14587,13577,172.17.0.1
38,38,34.7,8.7,172.17.0.40,14588,13578,172.17.0.1
39,39,35.9,9.0,172.17.0.41,14589,13579,172.17.0.1
40,40,37.1,9.3,172.17.0.42,14590,13580,172.17.0.1
